purchase_id,date_key,product_key,supplier_key,buyer_key,unit_cost,quantity,freight_cost,total_cost
10001,20240101,501,301,901,1200,8,350,9950
10002,20240115,502,302,901,900,10,420,9420
10003,20240201,503,303,903,2.1,5000,180,10680
10004,20240220,504,303,903,0.8,9000,140,7340
10005,20240310,505,304,904,1.4,12000,210,17010
10006,20240405,501,301,902,1180,6,300,7380
10007,20240518,502,302,902,910,11,460,10470
10008,20240622,503,303,903,2.0,6200,220,12620
10009,20240115,505,304,904,1.5,8000,190,12190
10010,20240310,504,303,901,0.82,7500,130,6280
10011,20240518,501,301,901,1195,7,320,8685
10012,20240622,502,302,902,905,9,410,8555
